URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,5.0.0,active,"2.16.840.1.113883.4.642.1.413,2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.4.424",LinkType,Link Type,"The type of link between this Patient resource and other Patient/RelatedPerson resource(s).","ValueSet/link-type"
http://hl7.org/fhir/observation-referencerange-normalvalue,5.0.0,active,"2.16.840.1.113883.4.642.4.2099",ObservationReferenceRangeNormalValue,ObservationreferenceRangeNormalValue,"Codes that describe the normal value in the reference range.","ValueSet/observation-referencerange-normalvalue"
http://hl7.org/fhir/observation-status,5.0.0,active,"2.16.840.1.113883.4.642.4.401,2.16.840.1.113883.4.642.1.388,2.16.840.1.113883.4.642.2.219",ObservationStatus,Observation Status,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/observation-triggeredbytype,5.0.0,active,"2.16.840.1.113883.4.642.4.2098",TriggeredBytype,triggered Bytype,"Codes providing the triggeredBy type of observation.","ValueSet/observation-triggeredbytype"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v2-0131,3.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-ObservationValue,4.0.0,active,"2.16.840.1.113883.5.1063",ObservationValue,ObservationValue,"This code system covers all concepts of HL7-defined values for the Observation value element, when it has a coded datatype.","ValueSet/common-tags"
https://example.ca/fhir/CodeSystem/identifier-type,0.1.0,draft,,LLIdTypeCS,LL Identifier Type code system,"Custom code system to define LL identifier types","ValueSet/PatientIdVS"
https://lg.com/fhir/CodeSystem/identifier-type,0.1.0,draft,,LGIdTypeCS,LG Identifier Type code system,"Custom code system to define LG identifier types","ValueSet/ObservationIdVS"
